DAY,LAW_CODE_NUMERIC,DF_LCC,DF_AB
25,1552500,2,4
16,1302507,3,4
10,1302502,3,4
17,1302504,3,1
27,1211200,3,3
16,1552500,2,1
13,1654505,3,4
20,1200001,2,1
12,1201401,2,3
11,1552500,2,4
6,1200001,2,3
10,1200001,2,4
4,1553001,3,3
17,1402501,3,3
25,1552500,2,1
11,2200300,2,3
30,1553001,3,1
15,511001,2,2
7,215510,3,5
20,1200001,2,3
18,1702000,2,3
21,1651503,2,3
4,1651503,2,2
18,1200502,3,1
4,1552500,2,4
12,2201601,3,2
9,5110,2,3
4,1552500,2,1
21,2201608,3,3
10,1200001,2,4
27,1552500,2,1
16,1201401,2,1
10,1200001,2,5
16,215510,3,1
14,1651503,2,2
1,1553501,3,3
10,215510,3,1
30,1552500,2,1
18,2053000,2,1
13,1450003,2,5
29,1200001,2,4
14,1200502,3,1
24,1200002,2,3
13,1701003,3,2
16,1950500,2,4
4,215510,3,4
4,1450502,3,1
20,2154002,3,1
10,1202000,2,2
24,2650201,3,1
23,1450001,2,4
10,1451000,3,3
24,130351,3,4
9,1200001,2,2
14,2650201,3,4
13,1654501,3,2
11,1552500,2,4
4,2403001,2,4
5,1554001,3,3
6,1201401,2,2
24,1553001,3,2
5,1553005,3,3
24,1654000,2,1
3,1553001,3,3
3,1200001,2,2
25,1552500,2,1
5,1651503,2,1
21,1651503,2,1
17,1552500,2,3
12,1200503,3,1
22,1200502,3,3
17,1403500,2,1
20,1552500,2,1
12,2203901,3,1
30,1553001,3,3
3,2200300,2,3
4,1200001,2,2
11,1200001,2,1
8,511001,2,1
5,1950500,2,1
15,511001,2,2
12,2253001,2,4
26,1450001,2,1
29,1200512,3,2
18,1552500,2,4
26,130550,2,1
17,1553005,3,3
13,1402000,3,1
7,1702000,2,4
7,1552500,2,3
28,1651503,2,1
8,2400800,2,2
13,1651503,2,2
20,215510,3,1
10,1200001,2,3
28,5110,3,1
3,215510,3,2
30,1651503,2,1
19,1552500,2,1
20,2201601,3,2
24,2200300,2,4
29,1201401,2,2
3,1553005,3,2
15,2053000,2,3
26,1552500,2,4
24,1553005,3,4
12,1200001,2,5
18,1950502,2,1
23,1552500,2,2
21,1651503,2,2
22,1211200,3,2
19,1450001,2,2
11,1450003,2,4
17,1211100,2,1
17,215510,3,2
11,5700600,4,4
2,1950500,2,1
29,2200605,3,2
8,1552500,2,1
8,1450001,2,2
15,1200001,2,4
18,1212000,2,2
14,1552500,2,3
6,1200502,3,2
26,1552500,2,4
23,1200501,3,1
12,215510,3,2
7,1200502,3,4
13,1200502,3,2
5,2155003,2,2
24,2200300,2,5
20,1651503,2,2
17,2201601,3,1
26,1552500,2,1
19,2200300,2,3
26,1601504,3,2
2,1252501,3,2
18,1200001,2,1
30,1200001,2,2
1,1211200,3,2
27,2223501,3,2
4,215513,3,1
12,2403001,2,1
22,2200300,2,4
23,1701501,3,3
25,1200501,3,1
20,5110,2,4
17,1601502,3,1
20,265031,3,4
10,1553008,3,4
12,120141,3,2
18,1200501,3,3
29,1402501,3,5
11,119202,2,5
22,1552500,2,1
16,1552500,2,1
23,1700500,2,1
2,1192000,2,2
13,1651503,2,3
23,1450501,3,1
24,1450502,3,1
27,2204101,3,1
24,1651503,2,5
3,1552500,2,3
8,1553001,3,3
16,215510,3,4
25,1654502,3,1
2,1211100,2,4
28,1651503,2,3
20,5110,3,4
3,1651502,2,3
23,2200300,2,4
6,2200300,2,3
28,1651503,2,4
24,240301,2,2
7,1201401,2,2
6,1552500,2,3
19,1654502,3,1
30,1552500,2,1
8,1200001,2,1
12,2200602,3,4
24,1553004,3,1
18,2200300,2,2
6,1654000,2,2
3,2200300,2,3
21,1200502,3,2
18,2200605,3,1
3,1702500,3,4
29,2200300,2,3
3,1450004,2,4
6,215510,3,4
9,1702000,2,2
14,1202000,2,2
19,1552500,2,1
7,1600500,3,4
2,1200502,3,1
7,2650104,2,3
8,1211200,3,1
15,1552500,2,4
28,1450003,2,5
28,1651503,2,2
11,215510,3,5
14,2601001,2,4
7,240301,2,3
13,1402000,3,2
19,1552500,2,1
23,1201001,3,1
9,1402000,3,3
4,51101,2,2
19,1601502,3,4
22,215510,3,2
5,511001,2,1
26,1552500,2,4
9,1601001,3,1
5,1654505,3,1
16,2403001,2,2
28,1552500,2,3
27,1552500,2,2
7,1201401,2,3
17,1553005,3,4
14,1402000,3,1
28,1200001,2,2
12,2601001,2,4
27,1552500,2,3
30,215510,3,2
11,2650201,3,4
23,1601501,3,1
17,1201500,2,2
20,1553008,3,4
3,2155003,2,2
26,1651503,2,1
10,1402502,3,4
10,511001,2,5
17,1600500,3,2
11,2201602,3,4
22,509003,4,2
20,1252501,3,2
19,1552500,2,3
18,2201602,3,5
24,2650101,2,1
11,2200300,2,3
27,1651503,2,2
25,6000,2,1
27,1552500,2,3
6,51104,2,2
30,12005,3,2
1,121110,2,5
4,1601002,3,2
24,1202500,3,1
5,2403003,2,3
9,1200001,2,2
12,1700500,2,2
25,1552500,2,2
12,215510,3,4
8,2403002,2,1
20,1552500,2,2
15,119202,2,4
18,215510,3,3
1,1450502,3,4
30,2650101,2,4
3,1305201,2,2
20,1552500,2,3
6,9000016,0,1
13,215513,3,5
2,1402000,3,3
7,1552500,2,2
3,2205002,2,4
9,9000049,0,3
12,511001,2,4
7,1950500,2,2
28,1601502,3,5
25,1200001,2,4
2,1403002,3,4
19,511,3,3
22,1200001,2,1
4,215510,3,4
22,215510,3,1
1,1200001,2,5
12,1450001,2,2
16,2201611,3,2
9,1601504,3,3
13,2201601,3,1
11,1651503,2,2
10,1950500,2,1
30,1402000,3,4
22,511001,2,2
5,1651503,2,1
30,1701003,3,1
19,130351,3,3
10,2200300,2,5
13,1552500,2,3
18,2200300,2,1
27,1450501,3,1
20,1200001,2,4
23,1600500,3,3
12,119202,2,2
28,119202,2,1
15,1192000,2,1
4,511001,2,4
10,2200601,3,4
14,215510,3,5
10,0,1,1
5,215510,3,4
7,215510,3,1
